drug_name,rule_type
"Amidopyrine","BANNED_FDC"
"Fixed dose combinations of vitamins with anti-inflammatory agents and tranquilizers","BANNED_FDC"
"Fixed dose combinations of Atropine in Analgesics and Antipyretics","BANNED_FDC"
"Fixed dose combinations of Strychnine and Caffeine in tonics","BANNED_FDC"
"Fixed dose combinations of Yohimbine and Strychnine with Testosterone and Vitamins","BANNED_FDC"
"Fixed dose combinations of Iron with Strychnine, Arsenic and Yohimbine","BANNED_FDC"
"Fixed dose combinations of Sodium Bromide/chloral hydrate with other drugs","BANNED_FDC"
"Phenacetin","BANNED_FDC"
"Fixed dose combinations of antihistaminic with anti-diarrhoeals","BANNED_FDC"
"Fixed dose combinations of Penicillin with Sulphonamides","BANNED_FDC"
"Fixed dose combinations of Vitamins with Analgesics","BANNED_FDC"
"Fixed dose combinations of any other Tetracycline with Vitamin C","BANNED_FDC"
"Fixed dose combinations of Hydroxyquinoline group of drugs with any other drug except for preparations meant for external use","BANNED_FDC"
"Fixed dose combinations of Corticosteroids with any other drug for internal use except for preparations meant for meter dose inhalers and dry powder inhalers","BANNED_FDC"
"Fixed dose combinations of Chloramphenicol with any other drug for internal use","BANNED_FDC"
"Fixed dose combinations of crude Ergot preparations except those containing Ergotamine, Caffeine, analgesics, antihistamines for the treatment of migraine, headaches","BANNED_FDC"
"Fixed dose combinations of Vitamins with Anti TB drugs except combination of Isoniazid with Pyridoxine Hydrochloride (Vitamin B6)","BANNED_FDC"
"Penicillin skin/eye Ointment","BANNED_FDC"
"Tetracycline Liquid Oral preparations","BANNED_FDC"
"Nialamide","BANNED_FDC"
"Practolol","BANNED_FDC"
"Methaqualone","BANNED_FDC"
"Oxytetracycline Liquid Oral preparations","BANNED_FDC"
"Demeclocycline Liquid Oral preparations","BANNED_FDC"
"Combination of anabolic Steroids with other drugs","BANNED_FDC"
"Methapyrilene, its salts","BANNED_FDC"
"Fixed dose combination of Oestrogen and Progestin (other than oral contraceptive) containing per tablet Estrogen content of more than 50 mcg and content of more than 3 mg Norethisterone Acetate","BANNED_FDC"
"Fixed dose combination of Sedatives/ hypnotics/anxiolytics with analgesics-antipyretics","BANNED_FDC"
"Fixed dose combination of Rifampicin, isoniazid and Pyrazinamide","BANNED_FDC"
"Fixed dose combination of Histamine H-2 receptor antagonists with antacids","BANNED_FDC"
"The patent and proprietary medicines of fixed dose combinations of essential oils with alcohol having percentage higher than 20% proof","BANNED_FDC"
"All Pharmaceutical preparations containing Chloroform exceeding 0.5% w/w or v/v","BANNED_FDC"
"Fixed dose combination of Ethambutol with INH","BANNED_FDC"
"Fixed dose combination containing more than one antihistamine","BANNED_FDC"
"Fixed dose combination of any anthelmintic with cathartic/purgative except for piperazine/Santonim","BANNED_FDC"
"Fixed dose combination of Salbutamol or any other bronchodilator with centrally acting anti-tussive and/or antihistamine","BANNED_FDC"
"Fixed dose combination of laxatives and/or anti-spasmodic drugs in enzyme preparations","BANNED_FDC"
"Fixed dose combination of Metoclopramide with systemically absorbed drugs except aspirin/paracetamol","BANNED_FDC"
"Fixed dose combination of centrally acting, antitussive with antihistamine, having high atropine like activity in expectorants","BANNED_FDC"
"Preparations claiming to combat cough associated with asthma containing centrally acting antitussive and/or an antihistamine","BANNED_FDC"
"Liquid oral tonic preparations containing glycerophosphates and/or other phosphates and / or central nervous system stimulant","BANNED_FDC"
"Fixed dose combination containing Pectin and/or Kaolin with any drug which is systemically absorbed from GI tract","BANNED_FDC"
"Chloral Hydrate as a drug","BANNED_FDC"
"Dovers Powder I.P.","BANNED_FDC"
"Dover's Powder Tablets I.P.","BANNED_FDC"
"Antidiarrhoeal formulations containing Kaolin or Pectin or Attapulgite or Activated Charcoal","BANNED_FDC"
"Antidiarrhoeal formulations containing Phthalyl Sulphathiazole or Sulphaguanidine or Succinyl Sulphathiazole","BANNED_FDC"
"Antidiarrhoeal formulations containing Neomycin or Streptomycin or Dihydrostreptomycin","BANNED_FDC"
"Liquid Oral antidiarrhoeals or any other dosage form for pediatric use containing Diphenoxylate or Loperamide or Atropine or Belladona","BANNED_FDC"
"Liquid Oral antidiarrhoeals or any other dosage form for pediatric use containing halogenated hydroxyquinolines","BANNED_FDC"
"Fixed dose combination of antidiarrhoeals with electrolytes","BANNED_FDC"
"Patent and Proprietary Oral Rehydration Salts","BANNED_FDC"
"Fixed dose combination of Oxyphenbutazone or Phenylbutazone with any other drug","BANNED_FDC"
"Fixed dose combination of Analgin with any other drug","BANNED_FDC"
"Fixed dose combination of dextropropoxyphene with any other drug other than anti-spasmodics and/or NSAIDS","BANNED_FDC"
