drug_name,batch_number,manufacturer,reason_for_recall
Pantoprazole Tablets IP,PEP5001,"Finecure Pharmaceuticals Ltd. PF-5 & 6, Sanand Industrial Estate-II, GIDC, Sanand, District: Ahmedbad",Dissolution test
METHOTREXATE TABLETS IP 7.5 MG,L09-2501,"Macmillon Pharmaceuticals Pvt Ltd., 62-663, Vijay Nagar, Batala. Road, Amritsar-143001.",Description
Calcium and Vitamin D3 Tablets IP,CH26T203,"Cureza Healthcare Pvt Ltd., Survey No. 63/1, 67/1, Village-Solsinda, Tehsil-Sanwer, District-Indore, (M.P.) 453551",Dissolution :-(Calcium) Does not complies with IP limit as 3 out of 6 tablets are less than Q-25% Also some tablets can't even dissolve completely within the prescribed time limit.
Oral Rehydration Salts IP,4063,"Super Formulations Pvt Ltd., 16-B & 15-F, Industrial Area, maxi Road, Ujjain (M.P.)-456010",Net Weight
Oral Rehydration Salts IP,4057,"Super Formulations Pvt Ltd., 16-B & 15-F, Industrial Area, maxi Road, Ujjain (M.P.)-456010",Net Weight
Pregabalin Capsules IP 300mg,DMC-260508A,"DIVINE MEDICARE, V.P.O Lodhwan Tehsil Nurpur Distt. Kangra (H.P.)-176201",The Contents of Pregabali found to be 211.16mg/Capsule against the claim of 300.0mg/Capsule.
Itraconazole 100mg IP,MC004,"MK Healthcare, Khasra No 1112, Gahlian Khas Kangra, Himchal Pradesh 176029.",1. The content of Itraconazole found to be 63.54 mg per capsule (63.54%) against labelled claim of 100 mg per capsule. 2. The composition on the label is not as per I.P monograph
PHENYLEPHRINE HYDROCHLORIDE AND CHLORPHENIRAMINE MALEATE SYRUP IP,XL260053,"Xcell Labs, Plot No. 146 Export Promotion Ind. Park-1, Jharmajri, Baddi, Distt. Solan (H.P)",pH
"Pregabalin IP 75mg, Nortripyline 10mg and Methylcobalamin IP 1500mcg,",ADT252729A,"Astonea Labs Pvt. Ltd.., VIL Haripur, The. Raipur Rani, Distt, Panchkula, Haryana-134204, INDIA",The content of Methylcobalamin found to be 668.61 mcg per tablet (44.574%) against labelled claim of 1500 mcg per tablet.
Dinoprost Tromethamine Injection,VPT409,"Vetsun Pharmaceuticals, 251, 252 Sisona Bhagwanpur Roorkee, Distt-Haridwar-247661 U.K",pH
Alprazolam Tablets IP 0.5mg,TA25315,"SAINTLIFE PHARMACEUTICALS LTD., 323, Central Hope Town, Industrial Area, Selaqui, Dehradun-248011, Uttarakhand, INDIA",The sample does not conform to the IP with respect to Dissolution.
Paracetamol Tablets IP 650mg,FT5427,"Forgo Pharmaceuticals, 27, DIC Ind Area, Barotiwala, Teh: Baddi, Distt. Solan (HP) 174103",The sample does not conforms to the I.P. with respect to Dissolution Test.
Dinoprostone Gel,H-084,"COTEC HEALTHCARE Pvt. LTD., NH No. 74, Roorkee- Dehradun Highway Kishanpur, Roorkee-247667 (UK) India","The sample does not conforms to the claim with respect to Average fill, Uniformity of weight and Assay."
Disposable Syringe for Single Use Only (STERILIFE) 2ml,052502GX01,"STERISAFE HEALTH SOLUTIONS, 120-121, Industrial Area, Near Bhawani Dharam Kanta, Bapi- 303507.",The sample does not comply as per IP 2022 with respect to the test for Sterility.
Nifedipine Sustained Release Tablets IP 10mg,ANY25001,"J.B. Chemicals & Pharmaceuticals Ltd., 128/1, GIDC, Ankleshwar 393002",The sample does not conforms to the claim with respect to Dissolution (Acid Stage).
Cefixime & Ofloxacin Dispersible Tablets,T4646,"Titanes Pharma, Vill. Bathu, Tehsil- Haroli, Distt. Una (HP) 174507.","The sample does not conform to the claim with respect to Assay, Uniformity of dispersion and Disintegration."
Cefixime with Lactic Acid Bacillus Dispersible Tablets,CT/25/792,"Ciphem Pharma, Plot No. 30, Subhlakshmi Ind. Estate, Opp. Sanket Ind. Estate, At. Moraiya, Ta. Sanand, Ahmedabad-382213.",The sample does not conform to the claim with respect to Assay of Cefixime Trihydrate Eq. to Anhydrous Cefixime.
Metronidazole Tablets IP 400 mg,T4500,"Titanes Pharma, Vill. Bathu, Tehsil- Haroli, Distt. Una (HP) 174507.",The sample does not conforms to the IP with respect to Dissolution.
Levocetirizine Dihydrochloride Tablets I.P.,B13225006,"TORQUE PHARMACEUTICALS Pvt. LTD., 13B-14, EPIP-I, Jharmajri, H.P.-173205.",The sample does not conform to the I.P. with respect to Dissolution of Levocetirizine Dihydrochloride.
Betamethasone Sodium Phosphate Injection I.P.,HL11006M,"Himalaya Meditek Pvt. Ltd., Plot No. 35 & 36, Pharmacity, Selaqui, Industrial Area, Dehradun-248197.","The sample does not conforms to the IP with respect to Description, Particulate Matter and Assay."
"ketoconazole, Chloridexidine Glueconate & Cetrinide Shampoo",L047D25,"Disinfecto Chemical Industrial Pvt. Ltd. D-7 ,Chinlat industrial area, Lucknow -226019 India",Assay for chlorhexidine Gluconate only
